sample_id,release,filename,accession,study,bioproject_accession,biosample_accession,library_id,library_strategy,library_source,platform,instrument_model,design_description,generator_facility,generator_contact,data_type,filetype,library_layout,library_selection,shear_method,total_bp,coverage,ntsm_score,path,total_gbp,production,basecaller,basecaller_version
HG00097,2,HG00097-1_FC4_S5_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41463345039,13.38,0.422274,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC4_S5_L001_R1_001.fastq.gz,41.46,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-1_FC4_S5_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41463345039,13.38,0.424785,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC4_S5_L001_R2_001.fastq.gz,41.46,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-1_FC2_S5_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42117594970,13.59,0.408712,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC2_S5_L001_R1_001.fastq.gz,42.12,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-1_FC2_S5_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42117594970,13.59,0.3963,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC2_S5_L001_R2_001.fastq.gz,42.12,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-1_FC3_S5_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42482338490,13.7,0.416986,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC3_S5_L001_R1_001.fastq.gz,42.48,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-1_FC3_S5_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42482338490,13.7,0.386148,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC3_S5_L001_R2_001.fastq.gz,42.48,HIC_Y3_Y4_part2,,
HG00099,2,HG00099-2_S28_L001_R1_001.fastq.gz,SRR30242271,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,10131790358,3.27,0.607471,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R1_001.fastq.gz,10.13,HiC,,
HG00099,2,HG00099-2_S28_L001_R2_001.fastq.gz,SRR30242271,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,10130938028,3.27,0.585726,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R2_001.fastq.gz,10.13,HiC,,
HG00099,2,HG00099-1_S20_L001_R1_001.fastq.gz,SRR30242407,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,10451741673,3.37,0.63141,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R1_001.fastq.gz,10.45,HiC,,
HG00099,2,HG00099-1_S20_L001_R2_001.fastq.gz,SRR30242407,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,10450847711,3.37,0.586367,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R2_001.fastq.gz,10.45,HiC,,
HG00099,2,HG00099-2_S28_L004_R1_001.fastq.gz,SRR30242475,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,10993123748,3.55,0.602038,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R1_001.fastq.gz,10.99,HiC,,
HG00099,2,HG00099-2_S28_L004_R2_001.fastq.gz,SRR30242475,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,10992500429,3.55,0.590519,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R2_001.fastq.gz,10.99,HiC,,
HG00099,2,HG00099-2_S28_L002_R1_001.fastq.gz,SRR30242256,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11131760226,3.59,0.634275,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R1_001.fastq.gz,11.13,HiC,,
HG00099,2,HG00099-2_S28_L002_R2_001.fastq.gz,SRR30242256,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11131143646,3.59,0.574405,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R2_001.fastq.gz,11.13,HiC,,
HG00099,2,HG00099-2_S28_L003_R1_001.fastq.gz,SRR30242245,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11135119794,3.59,0.639197,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R1_001.fastq.gz,11.14,HiC,,
HG00099,2,HG00099-2_S28_L003_R2_001.fastq.gz,SRR30242245,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11134454158,3.59,0.580572,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R2_001.fastq.gz,11.13,HiC,,
HG00099,2,HG00099-1_S20_L004_R1_001.fastq.gz,SRR30242307,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11172967086,3.6,0.610805,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R1_001.fastq.gz,11.17,HiC,,
HG00099,2,HG00099-1_S20_L004_R2_001.fastq.gz,SRR30242307,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11172372001,3.6,0.606946,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R2_001.fastq.gz,11.17,HiC,,
HG00099,2,HG00099-1_S20_L002_R1_001.fastq.gz,SRR30242406,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11266122224,3.63,0.580328,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R1_001.fastq.gz,11.27,HiC,,
HG00099,2,HG00099-1_S20_L002_R2_001.fastq.gz,SRR30242406,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11265516145,3.63,0.584291,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R2_001.fastq.gz,11.27,HiC,,
HG00099,2,HG00099-1_S20_L003_R1_001.fastq.gz,SRR30242322,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11263022499,3.63,0.577897,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R1_001.fastq.gz,11.26,HiC,,
HG00099,2,HG00099-1_S20_L003_R2_001.fastq.gz,SRR30242322,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,11262373437,3.63,0.593362,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R2_001.fastq.gz,11.26,HiC,,
HG00106,3,HG00106-1_FC1_S29_L003_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,28596843872,9.22,0.391734,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC1_S29_L003_R2_001.fastq.gz,28.60,HPRC-OmniC-100124Pools,,
HG00106,3,HG00106-2_FC1_S30_L003_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26295863441,8.48,0.392326,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC1_S30_L003_R2_001.fastq.gz,26.30,HPRC-OmniC-100124Pools,,
HG00106,3,HG00106-2_FC2_S30_L003_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,28995071340,9.35,0.401979,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC2_S30_L003_R2_001.fastq.gz,29.00,HPRC-OmniC-100124Pools,,
HG00106,3,HG00106-1_FC2_S29_L003_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,31948735832,10.31,0.408116,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC2_S29_L003_R2_001.fastq.gz,31.95,HPRC-OmniC-100124Pools,,
HG00106,3,HG00106-1_FC1_S29_L003_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,28596843872,9.22,0.446125,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC1_S29_L003_R1_001.fastq.gz,28.60,HPRC-OmniC-100124Pools,,
HG00106,3,HG00106-1_FC2_S29_L003_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,31948735832,10.31,0.451427,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC2_S29_L003_R1_001.fastq.gz,31.95,HPRC-OmniC-100124Pools,,
HG00106,3,HG00106-2_FC2_S30_L003_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,28995071340,9.35,0.458545,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC2_S30_L003_R1_001.fastq.gz,29.00,HPRC-OmniC-100124Pools,,
HG00106,3,HG00106-2_FC1_S30_L003_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021696,HG00106-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26295863441,8.48,0.462115,s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC1_S30_L003_R1_001.fastq.gz,26.30,HPRC-OmniC-100124Pools,,
HG00116,3,HG00116-1_FC1_S1_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,36908109164,11.91,0.373579,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC1_S1_L001_R2_001.fastq.gz,36.91,HPRC-OmniC-241217Pools,,
HG00116,3,HG00116-2_FC1_S2_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,33988189850,10.96,0.384881,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC1_S2_L001_R1_001.fastq.gz,33.99,HPRC-OmniC-241217Pools,,
HG00116,3,HG00116-1_FC2_S1_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,36749617752,11.85,0.386451,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC2_S1_L001_R2_001.fastq.gz,36.75,HPRC-OmniC-241217Pools,,
HG00116,3,HG00116-1_FC1_S1_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,36908109164,11.91,0.390011,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC1_S1_L001_R1_001.fastq.gz,36.91,HPRC-OmniC-241217Pools,,
HG00116,3,HG00116-2_FC2_S2_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,33610085548,10.84,0.404105,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC2_S2_L001_R2_001.fastq.gz,33.61,HPRC-OmniC-241217Pools,,
HG00116,3,HG00116-1_FC2_S1_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,36749617752,11.85,0.415929,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC2_S1_L001_R1_001.fastq.gz,36.75,HPRC-OmniC-241217Pools,,
HG00116,3,HG00116-2_FC1_S2_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,33988189850,10.96,0.416264,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC1_S2_L001_R2_001.fastq.gz,33.99,HPRC-OmniC-241217Pools,,
HG00116,3,HG00116-2_FC2_S2_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,,HG00116-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,33610085548,10.84,0.432327,s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC2_S2_L001_R1_001.fastq.gz,33.61,HPRC-OmniC-241217Pools,,
HG00117,3,HG00117-1_FC1_S17_L002_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021697,HG00117-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,29065788717,9.38,0.488197,s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC1_S17_L002_R1_001.fastq.gz,29.07,HPRC_OmniC_241028,,
HG00117,3,HG00117-1_FC1_S17_L002_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021697,HG00117-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,29065788717,9.38,0.482441,s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC1_S17_L002_R2_001.fastq.gz,29.07,HPRC_OmniC_241028,,
HG00117,3,HG00117-1_FC2_S17_L002_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021697,HG00117-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26617135722,8.59,0.489519,s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC2_S17_L002_R1_001.fastq.gz,26.62,HPRC_OmniC_241028,,
HG00117,3,HG00117-1_FC2_S17_L002_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021697,HG00117-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26617135722,8.59,0.487773,s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC2_S17_L002_R2_001.fastq.gz,26.62,HPRC_OmniC_241028,,
