sample_id,filename,filetype,biosample_accession,library_id,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,ntsm_score,n50,total_gbp,coverage,coverage_over_100kb,coverage_over_200kb,coverage_over_300kb,coverage_over_400kb,coverage_over_500kb,coverage_over_1mb,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG00120,10_21_24_R1041_UL_HPRC_HG00120_3_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,10_21_24_R1041_UL_HPRC_HG00120_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,1.1.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00120/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_21_24_R1041_UL_HPRC_HG00120_3_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,0.458602,113895,63.45,19.23,10.79,4.06,1.25,0.43,0.18,0.01,31,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00126,08_29_23_R1041_HPRC_HG00126_1_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021637,08_29_23_R1041_HPRC_HG00126_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00126_1_dorado0.9.5_sup5.0.0.bam,0.419867,106947,81.94,24.83,13.38,3.49,0.6,0.1,0.04,0.01,20,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00126,08_29_23_R1041_HPRC_HG00126_3_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021637,08_29_23_R1041_HPRC_HG00126_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00126_3_dorado0.9.5_sup5.0.0.bam,0.437112,107378,78.59,23.81,12.88,3.49,0.62,0.11,0.04,0.01,20,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00126,08_29_23_R1041_HPRC_HG00126_2_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021637,08_29_23_R1041_HPRC_HG00126_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00126_2_dorado0.9.5_sup5.0.0.bam,0.455066,108652,75.65,22.93,12.57,3.36,0.59,0.1,0.04,0.01,24,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00128,11_7_23_R1041_HPRC_HG00128_1_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021641,11_7_23_R1041_HPRC_HG00128_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/sup5.0.0/11_7_23_R1041_HPRC_HG00128_1_dorado0.9.5_sup5.0.0.bam,0.451407,95624,60.84,18.44,8.83,2.85,0.84,0.28,0.12,0.02,58,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00128,11_7_23_R1041_HPRC_HG00128_2_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021641,11_7_23_R1041_HPRC_HG00128_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/sup5.0.0/11_7_23_R1041_HPRC_HG00128_2_dorado0.9.5_sup5.0.0.bam,0.438316,94747,64.97,19.69,9.34,2.93,0.82,0.27,0.13,0.03,85,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00128,11_7_23_R1041_HPRC_HG00128_3_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021641,11_7_23_R1041_HPRC_HG00128_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/sup5.0.0/11_7_23_R1041_HPRC_HG00128_3_dorado0.9.5_sup5.0.0.bam,0.45429,89979,73.65,22.32,10.06,3.06,0.86,0.27,0.11,0.02,45,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00133,08_29_23_R1041_HPRC_HG00133_1_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021638,08_29_23_R1041_HPRC_HG00133_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00133_1_dorado0.9.5_sup5.0.0.bam,0.451288,102471,73.51,22.28,11.44,3.09,0.58,0.11,0.04,0,12,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00133,08_29_23_R1041_HPRC_HG00133_3_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021638,08_29_23_R1041_HPRC_HG00133_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00133_3_dorado0.9.5_sup5.0.0.bam,0.458253,109185,73.24,22.19,12.21,3.43,0.68,0.13,0.06,0.01,27,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00133,08_29_23_R1041_HPRC_HG00133_2_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021638,08_29_23_R1041_HPRC_HG00133_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00133_2_dorado0.9.5_sup5.0.0.bam,0.449399,106288,72.75,22.04,11.78,3.26,0.63,0.11,0.04,0.01,14,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00140,11_12_24_R1041_UL_HPRC_HG00140_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN33621941,11_12_24_R1041_UL_HPRC_HG00140_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00140/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_12_24_R1041_UL_HPRC_HG00140_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.499202,98167,91.5,27.73,13.6,3.69,0.82,0.24,0.1,0.02,42,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year3_R10,R1041
HG00140,11_12_24_R1041_UL_HPRC_HG00140_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN33621941,11_12_24_R1041_UL_HPRC_HG00140_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00140/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_12_24_R1041_UL_HPRC_HG00140_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.483166,101564,73.77,22.35,11.36,3.08,0.65,0.17,0.07,0.02,36,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year3_R10,R1041
HG00146,01_23_24_R1041_HPRC_HG00146_3_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021634,01_23_24_R1041_HPRC_HG00146_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,1.1.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00146/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00146_3_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,0.454415,119465,35.67,10.81,6.38,2.33,0.66,0.2,0.1,0.03,65,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00146,11_14_23_R1041_HPRC_HG00146_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021634,11_14_23_R1041_HPRC_HG00146_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00146/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00146_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.434009,83865,45.61,13.82,5.76,1.6,0.42,0.13,0.06,0.01,25,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
